CRIM,ZN,INDUS,AGE,DIS,PTRATIO,B,LSTAT,MEDV
0.52058,0.0,6.2,76.5,4.148,17.4,388.45,9.54,25.1
0.13158,0.0,10.01,72.5,2.7301,17.8,393.3,12.04,21.2
0.09744,0.0,5.96,61.4,3.3779,19.2,377.56,11.41,20.0
0.03961,0.0,5.19,34.5,5.9853,20.2,396.9,8.01,21.1
0.24103,0.0,7.38,43.7,5.4159,19.6,396.9,12.79,22.2
0.03768,80.0,1.52,38.3,7.309,12.6,392.2,6.62,34.6
4.55587,0.0,18.1,87.9,1.6132,20.2,354.7,7.12,27.5
0.01381,80.0,0.46,32.0,5.6484,14.4,394.23,2.97,50.0
0.18836,0.0,6.91,33.3,5.1004,17.9,396.9,14.15,20.0
0.19186,0.0,7.38,14.7,5.4159,19.6,393.68,5.08,24.6
7.67202,0.0,18.1,98.9,1.6334,20.2,393.1,19.92,8.5
0.03306,0.0,5.19,37.3,4.8122,20.2,396.14,8.51,20.6
0.03049,55.0,3.78,28.1,6.4654,17.6,387.97,4.61,31.2
0.06905,0.0,2.18,54.2,6.0622,18.7,396.9,5.33,36.2
5.70818,0.0,18.1,74.9,3.3317,20.2,393.07,7.74,23.7
0.17331,0.0,9.69,54.0,2.3817,19.2,396.9,12.01,21.8
0.07896,0.0,12.83,6.0,4.2515,18.7,394.92,6.78,24.1
0.1396,0.0,8.56,90.0,2.421,20.9,392.69,12.33,20.1
0.04337,21.0,5.64,63.0,6.8147,16.8,393.97,9.43,20.5
0.66351,20.0,3.97,100.0,1.8946,13.0,383.29,7.79,36.0
7.52601,0.0,18.1,98.3,2.185,20.2,304.21,19.31,13.0
0.40771,0.0,6.2,91.3,3.048,17.4,395.24,21.46,21.7
14.2362,0.0,18.1,100.0,1.5741,20.2,396.9,20.32,7.2
5.69175,0.0,18.1,79.8,3.5459,20.2,392.68,14.98,19.1
13.6781,0.0,18.1,87.9,1.8206,20.2,68.95,34.02,8.4
3.69311,0.0,18.1,88.4,2.5671,20.2,391.43,14.65,17.7
7.75223,0.0,18.1,83.7,2.7831,20.2,272.21,16.23,14.9
0.13587,0.0,10.59,59.1,4.2392,18.6,381.32,14.66,24.4
0.18337,0.0,27.74,98.3,1.7554,20.1,344.05,23.97,7.0
5.73116,0.0,18.1,77.0,3.4106,20.2,395.28,7.01,25.0
0.0578,0.0,2.46,58.4,2.829,17.8,396.9,5.04,37.2
0.10612,30.0,4.93,65.1,6.3361,16.6,394.62,12.4,20.1
0.06162,0.0,4.39,52.3,8.0136,18.8,364.61,12.67,17.2
